--- TRAIN ---
Cigarette_v20_jpg.rf.fee52ab732111501137b4dbcc2948794.txt: []
Cigarette_v22_jpg.rf.7ee5789714f72aec2e0057fbfa845dc4.txt: []
Cigarette_v22_jpg.rf.945dc83d935c925cf42f978ba6cc7cf9.txt: []
Cigarette_v23_jpg.rf.54b341aa4dbdf3c482f24a4b136cc81c.txt: []
Cigarette_v23_jpg.rf.b90d0958a018b9923a11f5d0d3e47347.txt: []
Cigarette_v24_jpg.rf.4376f5d2b451579649713087f772c510.txt: []
Cigarette_v24_jpg.rf.bfd0f59cf644092aa0b073c38d9c7bcc.txt: []
Cigarette_v25_jpg.rf.25f98b66b2b78458e82ff6abbceb51c0.txt: []
Cigarette_v25_jpg.rf.7bd7b45aa950d375fb315a7dfeecd958.txt: []
Cigarette_v26_jpg.rf.6405c6375a3b9eb86a50cc7cf92d26f2.txt: []
Cigarette_v26_jpg.rf.c80bcd5642dd87a77e0f1ae2095e5b2a.txt: []
Cigarette_v27_jpg.rf.28f30e0717abc7f4a45bf5fcd587aad9.txt: []
Cigarette_v27_jpg.rf.f817f90c4a2738c1e6238fc6733aaabf.txt: []
Cigarette_v28_jpg.rf.0bb31aabf5ad7d91c5406bffc753846a.txt: []
Cigarette_v28_jpg.rf.75c9aff426646e0d3f9be1f0624d988f.txt: []
Cigarette_v29_jpg.rf.9f8f959ffd9032b1c0ef3b4654434202.txt: []
Cigarette_v2_jpg.rf.6e2d5f5497e6d305d1b0cfe6cc0ff4c5.txt: []
Cigarette_v2_jpg.rf.c7c8af9e37d489a1b38675b50ed7c60e.txt: []
Cigarette_v31_jpg.rf.3615b1c49848b68f2bc3888590dd44f7.txt: []
Cigarette_v31_jpg.rf.98502cd95ce1d8c50bac5de790e412ce.txt: []
Cigarette_v33_jpg.rf.2663d1952f308cc5909262416f67174a.txt: []
Cigarette_v33_jpg.rf.80359266147934f3af3a2ee37312fd22.txt: []
Cigarette_v34_jpg.rf.0e970b689a20c0eaee154fcb3b891242.txt: []
Cigarette_v34_jpg.rf.34177cb7510ab9a136b70ee7b30e6864.txt: []
Cigarette_v35_jpg.rf.3b0eb21578dce749567bd28ae7dc0952.txt: []
Cigarette_v35_jpg.rf.c8b4c2800fa59ed318a995150e84d3b4.txt: []
Cigarette_v36_jpg.rf.088e83c684f9126509ad09650bfcbf10.txt: []
Cigarette_v36_jpg.rf.d6089a2086fb4392f7e28e54958cd6b3.txt: []
Cigarette_v37_jpg.rf.052669ded2dd5623f5588ab277fa3550.txt: []
Cigarette_v37_jpg.rf.070a9b394f3e83203dea55e5ec2fde4a.txt: []
Cigarette_v38_jpg.rf.0b999cb93a7e1235403a29407480e8ef.txt: []
Cigarette_v38_jpg.rf.8e708f750bf5a480a00d384225c3eab0.txt: []
Cigarette_v39_jpg.rf.6526106909e3dca31963856840a173b7.txt: []
Cigarette_v39_jpg.rf.b2364b7196e50dcecd667424cc43ae69.txt: []
Cigarette_v40_jpg.rf.6947fadbc371dd97e00899abfb58caa4.txt: []
Cigarette_v40_jpg.rf.745ede165448db84dfa6c27c3494da35.txt: []
Cigarette_v41_jpg.rf.6fbc58262bb8cabf5e486c72dba4c05a.txt: []
Cigarette_v41_jpg.rf.ee61aee295e31c5abb5f81a9d317c652.txt: []
Cigarette_v4_jpg.rf.4850ae7f478634cb617c57ca38c3bf9b.txt: []
Cigarette_v4_jpg.rf.d59d0d73ffb7df285ae372df77891cc4.txt: []
Cigarette_v5_jpg.rf.403329e40dff22cee92d8099a7c54dea.txt: []
Cigarette_v5_jpg.rf.94ac6f7d3452c291301b873369c21f39.txt: []
Cigarette_v6_jpg.rf.05edb8e6a94643b1cc364bb395f9d03a.txt: []
Cigarette_v6_jpg.rf.29f71caf2a912b9945111f1609cf3701.txt: []
Cigarette_v7_jpg.rf.1b1ccd69d9cc5f79e52e8be8dff70b43.txt: []
Cigarette_v7_jpg.rf.3cc16635bdf7e9c6e30fccdc29e67e9a.txt: []
Cigarette_v9_jpg.rf.00b6a0a50f67779be02d89f14328e368.txt: []
Cigarette_v9_jpg.rf.1cbd496b9fd6b60836c8ed75e20808eb.txt: []
Cup_v10_jpg.rf.1c6fbd9efe8a074c2771d7af06075650.txt: []
Cup_v10_jpg.rf.96d6e095a009e239c255b7286202cf5e.txt: []
Cup_v11_jpg.rf.72ace06af9f4567679419775dfa33237.txt: []
Cup_v11_jpg.rf.e2baef84b3afb7f2fadffc003969b3a9.txt: []
Cup_v13_jpg.rf.8d17fcfdd4a7e022e4a4bffa689ac521.txt: []
Cup_v13_jpg.rf.b2003bfe48146ee33f6cd37fcaaa052e.txt: []
Cup_v14_jpg.rf.10cefdce0b7567a0f3fc024a81d9073f.txt: []
Cup_v14_jpg.rf.94ce2f1cb817487f7246bd35862e609e.txt: []
Cup_v17_jpg.rf.cd99bf0b59966500f4c8d288b1ba0dff.txt: []
Cup_v17_jpg.rf.dfad5bfa5506393bcb2ec624c375b26d.txt: []
Cup_v18_jpg.rf.656072ff368a866439be8f7612b22b03.txt: []
Cup_v18_jpg.rf.ccf99be0bbf8b582e56c52f78b2eccf7.txt: []
Cup_v19_jpg.rf.d7559c62d30fd0217c73f92a3b0a98c5.txt: []
Cup_v19_jpg.rf.ef662092557bba6a5142f2232ca28273.txt: []
Cup_v20_jpg.rf.b43cf37072e8309b5243346b50261aae.txt: []
Cup_v20_jpg.rf.c452d5382b937ff37193ad17dd84f9bb.txt: []
Cup_v23_jpg.rf.a0eb70ea9df837198415f4bb8e118f80.txt: []
Cup_v23_jpg.rf.c48a6fe642fef2d9973c4868e6793bd1.txt: []
Cup_v2_jpg.rf.1f405b8cbe549d3897c25eb06df0e178.txt: []
Cup_v2_jpg.rf.aa41e5bb2797a89a40fd266c04a2f9d3.txt: []
Cup_v4_jpg.rf.19103857962744d6aaf68a3c869f628f.txt: []
Cup_v4_jpg.rf.b3e43cf0f4a3ee160b27bf4823b7b282.txt: []
Cup_v8_jpg.rf.0c0906602dd552a3fcf7eafc3581a970.txt: []
Cup_v8_jpg.rf.fd18d1f604c781100f8ab980ce97510f.txt: []
Cup_v9_jpg.rf.07b0e31a0565b50293c5520c28f6e43c.txt: []
Cup_v9_jpg.rf.75c917b4f7679385fede164daf332f22.txt: []
Drinking_v10_frame150_jpg.rf.6648aa7a43ca9453a445b84536d5b45d.txt: []
Drinking_v10_frame150_jpg.rf.8cd9f7ff6907649067164d94d592c6a4.txt: []
Drinking_v10_frame165_jpg.rf.2ffd43abce53b0c03ec00b17bfa10696.txt: []
Drinking_v10_frame165_jpg.rf.ba3fac7e4183659aeb3d91dc866bc37c.txt: []
Drinking_v10_frame300_jpg.rf.c86997b00d00c811e5d5948d22dafa98.txt: ['drinking']
Drinking_v10_frame300_jpg.rf.ee9abfe6a53b5e364d18daa77a6389b2.txt: ['drinking']
Drinking_v10_frame315_jpg.rf.9835f154826ae88d2715c5029a2ae983.txt: ['drinking']
Drinking_v10_frame315_jpg.rf.fecee5797773f79611e1d66af17bc796.txt: ['drinking']
Drinking_v10_frame330_jpg.rf.2639f0483393584af234996ed075713d.txt: ['drinking']
Drinking_v10_frame330_jpg.rf.32b55a50b14d344629ecf67fd8e2c40e.txt: ['drinking']
Drinking_v10_frame360_jpg.rf.07195ac3a5c1fc1c261d270c03355d00.txt: []
Drinking_v10_frame360_jpg.rf.e28c5a29c329535afc182c3370fee245.txt: []
Drinking_v10_frame375_jpg.rf.4d3dc2915a9dbd95fe3b88250868748b.txt: []
Drinking_v10_frame375_jpg.rf.918ea00ab5f0146c2c2d583294fb0c3a.txt: []
Drinking_v10_frame435_jpg.rf.333719aa9c893ca06faa15b4667b4a74.txt: []
Drinking_v10_frame435_jpg.rf.e966c5e20e206244294079667fc46272.txt: []
Drinking_v10_frame450_jpg.rf.4693f132c1e0aaea2d84e3b192fd341c.txt: []
Drinking_v10_frame450_jpg.rf.94893110f6d3e2715728beac6705afec.txt: []
Drinking_v10_frame75_jpg.rf.0dbdbba53d28d37516933ce9a6f7bc78.txt: ['drinking']
Drinking_v10_frame75_jpg.rf.14fb1b4cf913a5821a213bbbc2376c9e.txt: ['drinking']
Drinking_v10_frame90_jpg.rf.01f313e429bb5c6398381dcc4a7db255.txt: []
Drinking_v10_frame90_jpg.rf.54e873ae758ee2fae84c6018aa090ea2.txt: []
Drinking_v11_frame120_jpg.rf.19c25bcafa071a482f8b85c1c2ce154b.txt: ['drinking']
Drinking_v11_frame120_jpg.rf.720b900d85f278d91ff1fd4f559ddf0d.txt: []
Drinking_v11_frame120_jpg.rf.9511cd0c73c7bfcf2c67c30fe216540e.txt: []
Drinking_v11_frame120_jpg.rf.d7f40863a2bc8ce2782a59cfee8ee7d1.txt: ['drinking']
Drinking_v11_frame165_jpg.rf.b2b0de088c0c664ba4375dafe30f480a.txt: ['drinking']
Drinking_v11_frame165_jpg.rf.ba85c36bb2f480748358fec81b60ee1b.txt: ['drinking']
Drinking_v11_frame180_jpg.rf.1b91d12abf6b258f43e34b28f8ad636d.txt: ['drinking']
Drinking_v11_frame180_jpg.rf.a26df927a2549363192aea9533e93b0a.txt: ['drinking']
Drinking_v11_frame195_jpg.rf.b80d09ac2f58546dc4da72abc61aac82.txt: ['drinking']
Drinking_v11_frame195_jpg.rf.ddd9df6045f3efb953aa8901c8a32540.txt: ['drinking']
Drinking_v11_frame225_jpg.rf.5d8607d5dccd9bc20015bd8cbf601aef.txt: ['drinking']
Drinking_v11_frame225_jpg.rf.a53214be8a495e3789d0e544605eaf7f.txt: ['drinking']
Drinking_v11_frame240_jpg.rf.450ce4929fc8280927448af2a3d28446.txt: ['drinking']
Drinking_v11_frame240_jpg.rf.c13bda5f1f703e1123957d8d17df51f3.txt: ['drinking']
Drinking_v12_frame1005_jpg.rf.1328f317aa0f3c76c9e345a6b4b4cf8d.txt: []
Drinking_v12_frame1005_jpg.rf.2c100594d8e3c7cf474f9f5e496c73b3.txt: []
Drinking_v12_frame1020_jpg.rf.0dea53b68359a89fc52d78e6a2322195.txt: ['drinking']
Drinking_v12_frame1020_jpg.rf.771a92bd5b722a665a1f716e091e83ae.txt: ['drinking']
Drinking_v12_frame1065_jpg.rf.5a560f007be90c8d05d8874f993a661c.txt: []
Drinking_v12_frame1065_jpg.rf.e0ff23a35d47339c88306d7d34ef45ae.txt: []
Drinking_v12_frame1080_jpg.rf.36fc33c478012482a3ea0da3a2bae08d.txt: []
Drinking_v12_frame1080_jpg.rf.87a99777b85ad78199cd479879cdbfc2.txt: []
Drinking_v12_frame1095_jpg.rf.932407ad15ab83d88fd11579c422f4c7.txt: []
Drinking_v12_frame1095_jpg.rf.e74ebb98fbf11b699344bf6e5dd03137.txt: []
Drinking_v12_frame870_jpg.rf.9eda9a8680277a0d211a6bba0627e9d2.txt: ['drinking']
Drinking_v12_frame870_jpg.rf.a1aad86f40740e48f84b977aeadcdf06.txt: ['drinking']
Drinking_v12_frame885_jpg.rf.194f7c7ded9afb73125c04dbd47721b7.txt: ['drinking']
Drinking_v12_frame885_jpg.rf.80592a860412b7fa70b347d0d6795662.txt: ['drinking']
Drinking_v12_frame975_jpg.rf.619298fbff8698dd1bf4de93f3a14a6a.txt: ['drinking']
Drinking_v12_frame975_jpg.rf.8e1180b143418c32604f3b690dcd7c6f.txt: ['drinking']
Drinking_v1_frame165_jpg.rf.66a92e53dcfdb7ca863ba2a2bf2d807b.txt: ['drinking']
Drinking_v1_frame165_jpg.rf.d3067aabcfa9931d79d1c02cc53adf98.txt: ['drinking']
Drinking_v1_frame195_jpg.rf.735fc83778521918e5511d5f0ecce254.txt: ['drinking']
Drinking_v1_frame195_jpg.rf.aa0847db1a62ee0ffb5b0defe18cebfe.txt: ['drinking']
Drinking_v1_frame30_jpg.rf.092077a146aa9a171e9d175aba076a4d.txt: ['drinking']
Drinking_v1_frame30_jpg.rf.0955b92935ee31a595c45666a205dd8d.txt: ['drinking']
Drinking_v1_frame375_jpg.rf.221a79a68c4c03eb1de64ce70cb020e6.txt: ['drinking']
Drinking_v1_frame375_jpg.rf.b407f039c9413631ae065c7b139bc125.txt: ['drinking']
Drinking_v1_frame390_jpg.rf.3fc2521be9a1e964725bb27f792e121d.txt: ['drinking']
Drinking_v1_frame390_jpg.rf.58c9cc070c231c3a179c40707bd0de0e.txt: ['drinking']
Drinking_v1_frame420_jpg.rf.65dafa2914b83d655c44aa218de280e3.txt: ['drinking']
Drinking_v1_frame420_jpg.rf.d90d6fe2665c3db2eb0426efccacafc2.txt: ['drinking']
Drinking_v2_frame120_jpg.rf.119ab89a19f943d0e0be6412f9cbe6a7.txt: ['drinking']
Drinking_v2_frame120_jpg.rf.7aeccf6e1cba3230a00d42c573215822.txt: ['drinking']
Drinking_v2_frame135_jpg.rf.321e7434637227dd72f2ec00e62bb02c.txt: ['drinking']
Drinking_v2_frame150_jpg.rf.43ad7c7bf720ade6e3699f4a7d953324.txt: ['drinking']
Drinking_v2_frame150_jpg.rf.f15774d0226a801735e06844eac00f09.txt: ['drinking']
Drinking_v3_frame15_jpg.rf.d7e6ad782dce7c3b1bb5b927bff04b9f.txt: ['drinking']
Drinking_v3_frame15_jpg.rf.ebefdd12481ceda479c2f7aa83a856fe.txt: ['drinking']
Drinking_v3_frame225_jpg.rf.5e29e3e0ed73c26bc79199dff343c3e9.txt: ['drinking']
Drinking_v3_frame225_jpg.rf.e268c72777ee88a94e7a42fe43e9be73.txt: ['drinking']
Drinking_v3_frame240_jpg.rf.b0b27c2a64c6070b31ea818cb858aa30.txt: ['drinking']
Drinking_v3_frame240_jpg.rf.c38fa1fd0dd6851361981d0eb90ab5d3.txt: ['drinking']
Drinking_v3_frame255_jpg.rf.a435c6e0cc1057ef2a794f1a053042be.txt: ['drinking']
Drinking_v3_frame255_jpg.rf.d8bc2010f51b41dfd6bd737a1261f2f8.txt: ['drinking']
Drinking_v3_frame270_jpg.rf.74d11e4fc58b27cdd7877709320181a4.txt: ['drinking']
Drinking_v3_frame270_jpg.rf.a3111e5af54c5a408e4b0505a16352af.txt: ['drinking']
Drinking_v3_frame300_jpg.rf.a790f7159ec99571f4e503afde0ca222.txt: ['drinking']
Drinking_v3_frame300_jpg.rf.dd41d1d5aae462cd1aeca10559ecde35.txt: ['drinking']
Drinking_v3_frame75_jpg.rf.841a801597f398b3c0bccb6c86841874.txt: []
Drinking_v3_frame75_jpg.rf.fd9efa96c202f3ecdcb07c88fa03b550.txt: []
Drinking_v7_frame375_jpg.rf.39a3b7fd01b8375fe65c1c6401a1faa0.txt: ['drinking']
Drinking_v7_frame375_jpg.rf.dd59d9f45b219a07f6a4635585d7e43a.txt: ['drinking']
Drinking_v7_frame390_jpg.rf.2d726546a68dd57501c8e2df860b5369.txt: ['drinking']
Drinking_v7_frame390_jpg.rf.5c35c9c81571a8dc45305cb4a6af38ca.txt: ['drinking']
Drinking_v7_frame405_jpg.rf.9c1aae2da4ba288501c61f6d15fe95dd.txt: ['drinking']
Drinking_v7_frame660_jpg.rf.15233e1504a05b4e41b57c04a9b98780.txt: ['drinking']
Drinking_v7_frame660_jpg.rf.f48c9767d16b10e8ddcedd3087ab7bb0.txt: ['drinking']
Drinking_v9_frame600_jpg.rf.4977df52e0c61c21cbbbdc75acc76cc9.txt: ['drinking']
Drinking_v9_frame600_jpg.rf.e9feb6531c14445c17324f9e6a8d79e6.txt: ['drinking']
Smoking_v10_frame345_jpg.rf.e6c9f3800c7884a25675124dcd76744e.txt: ['smoking']
Smoking_v10_frame345_jpg.rf.eaeb1a8546099e8ba87fde0b50def1d0.txt: ['smoking']
Smoking_v10_frame615_jpg.rf.83db390ddcc5a213af0b7733d18a127d.txt: []
Smoking_v10_frame615_jpg.rf.9c043d8da8de2c9142ec7ad765cba6a6.txt: []
Smoking_v10_frame645_jpg.rf.67a9d0010b0813f62ef3aac1bccfe41c.txt: []
Smoking_v10_frame645_jpg.rf.877707466235bcecaad031bff6bb4389.txt: []
Smoking_v10_frame840_jpg.rf.889b6a167d32649dbd8b45f7e3301a50.txt: []
Smoking_v10_frame840_jpg.rf.c674e1ee9334df4515cfe3f467672673.txt: []
Smoking_v1_frame135_jpg.rf.3550a602a46cbc873093cf8a7deee209.txt: []
Smoking_v1_frame135_jpg.rf.6e3c78ce6e0b426a69989ff2ccc63f17.txt: []
Smoking_v3_frame150_jpg.rf.640c6e3e4bb39585531c52bd8c8afa6c.txt: []
Smoking_v3_frame150_jpg.rf.fe14696ef8942030bd49343cd7cd0aea.txt: []
Smoking_v3_frame195_jpg.rf.8c01cd9a05ae345fe6c90f6f9e8640ee.txt: []
Smoking_v3_frame195_jpg.rf.bcf968c3579eaf621a76ecfb1aaf90f5.txt: []
Smoking_v3_frame270_jpg.rf.203bbca9cbb23ce9505b8416d40d0568.txt: []
Smoking_v3_frame270_jpg.rf.c5df5e87598dce3681a392ff796d36df.txt: []
Smoking_v3_frame570_jpg.rf.5ed3a6bf13c45e46e285bbcbf1e51f58.txt: []
Smoking_v3_frame570_jpg.rf.d132e30aca0c680d03b43d172b1fa98e.txt: []
Smoking_v3_frame705_jpg.rf.1f38e2b5d56170ff8cf4259b1e39d8a0.txt: []
Smoking_v3_frame705_jpg.rf.6728c72415e81ccd2aca9a91dd579f10.txt: []
Smoking_v4_frame1095_jpg.rf.4612397ad7f57099781f040ac0ce1aa3.txt: []
Smoking_v4_frame1095_jpg.rf.fc0fb4cf6be6fc2b3ce14f72827e677b.txt: []
Smoking_v4_frame1110_jpg.rf.21efe258de1f7d78d700eac1a0c9ddaa.txt: []
Smoking_v4_frame1110_jpg.rf.22fcbd25267feba32fbd3660cb9d7eb9.txt: []
Smoking_v4_frame1575_jpg.rf.1a2bb9c73de4cd6bcd1b2e35a19e0dd0.txt: []
Smoking_v4_frame1575_jpg.rf.a6f058b79377cbc84058252b268de114.txt: []
Smoking_v4_frame2160_jpg.rf.41bbc964990ff1d86f52bba33100aa57.txt: []
Smoking_v4_frame2160_jpg.rf.746a9c0528da0c97615f011f035e34da.txt: []
Smoking_v4_frame2265_jpg.rf.eaea03cc9a06266d7995e3e77bb85e75.txt: []
Smoking_v4_frame2310_jpg.rf.61b0bf6e4de635823ff5b35646183850.txt: ['smoking']
Smoking_v4_frame2310_jpg.rf.a6960574c286fee0b7ad1c39a34c296a.txt: ['smoking']
Smoking_v4_frame2610_jpg.rf.1a4d9effc08c563f1d589e86f31a68d0.txt: []
Smoking_v4_frame2610_jpg.rf.a3f8307e826dc8bf76800b0ba02fac52.txt: []
Smoking_v4_frame2655_jpg.rf.8b08e29dd2809528e583c4c84189b93b.txt: []
Smoking_v4_frame2655_jpg.rf.ca578ae98e7011119546a242a7a34a52.txt: []
Smoking_v4_frame2670_jpg.rf.2cbf1d80413fd01938741dfb8b74a59f.txt: []
Smoking_v4_frame2670_jpg.rf.7d9107a0445d1201bee40e82d59e6942.txt: []
Smoking_v4_frame2685_jpg.rf.6e7c967afe3155bfe174a99ed2cbfa28.txt: []
Smoking_v4_frame2685_jpg.rf.e62ac4cc1ffdd02cce1b82cdf6622394.txt: []
Smoking_v4_frame3180_jpg.rf.abd3243ee3294722486aacce43de9475.txt: []
Smoking_v4_frame3180_jpg.rf.b0870dc174d26a7bcc48e6c660cd7dec.txt: []
Smoking_v4_frame3570_jpg.rf.0aa984c434fa299bf4965be6cb3ed89a.txt: []
Smoking_v4_frame3570_jpg.rf.7611cda40b14d9dd151574e5bed41671.txt: []
Smoking_v4_frame675_jpg.rf.722ec6feb514044838427e262d795fbd.txt: ['smoking']
Smoking_v4_frame675_jpg.rf.a043f76a952e96aa927cd519f907e675.txt: ['smoking']
Smoking_v4_frame900_jpg.rf.f08686d316bdd6eaf47928686a18ed79.txt: []
Smoking_v4_frame900_jpg.rf.f8c0d29040fd3cba6a6004faaeec484b.txt: []
Smoking_v4_frame960_jpg.rf.61f4a89c8090bf3338a457a45f94aa72.txt: ['smoking']
Smoking_v4_frame990_jpg.rf.7bf82acb167eb16da923f27673886ff5.txt: []
Smoking_v4_frame990_jpg.rf.ac927ee49d8e69320402d86f803747d5.txt: []
Smoking_v5_frame0_jpg.rf.399e480fd6f722739e04990aa1389aab.txt: []
Smoking_v5_frame0_jpg.rf.b553a58809413ab3d837a3550ddb238f.txt: []
Smoking_v5_frame210_jpg.rf.16c305f8e1c7feaa1d4da7ef60755316.txt: ['smoking']
Smoking_v5_frame210_jpg.rf.d9d36309da31453b2a1efac68cf9afe0.txt: ['smoking']
Smoking_v5_frame255_jpg.rf.7dfb92613c4c05c251e60534ded442ff.txt: []
Smoking_v5_frame255_jpg.rf.88da8d71ec151cd87ec6415217633b47.txt: []
Smoking_v5_frame285_jpg.rf.8e02b036588a06f8143b40aafaa1ebad.txt: []
Smoking_v5_frame285_jpg.rf.b7d7b35a569fc70c2d83345f279130d9.txt: []
Smoking_v5_frame435_jpg.rf.83023ab399d961e9be7a27d9a9aef947.txt: []
Smoking_v5_frame435_jpg.rf.bf8cf947f9cee85fe694d32b2c6e3d8b.txt: []
Smoking_v5_frame525_jpg.rf.1bf18b5b696ad502d81134d496af0144.txt: ['smoking']
Smoking_v5_frame525_jpg.rf.22acbeb181b60e22dc86a89232f7ad0e.txt: ['smoking']
Smoking_v5_frame555_jpg.rf.21eb27da02f0fece0b55622085f9b026.txt: ['smoking']
Smoking_v5_frame555_jpg.rf.c74363fb392d3d7be4d4162dcc0e3aa6.txt: ['smoking']
Smoking_v6_frame150_jpg.rf.22ecf8b8f414f9a330e5a53507c8fc7a.txt: ['smoking']
Smoking_v6_frame255_jpg.rf.68a99edd163c426f379c35f2cc33f9ae.txt: ['smoking']
Smoking_v6_frame255_jpg.rf.78f9741a1558a0a26143d23d5b894c70.txt: ['smoking']
Smoking_v6_frame285_jpg.rf.b204ee94e40d95ed363d937b489d51e6.txt: []
Smoking_v6_frame285_jpg.rf.cd33fdd2473d50297c56444f739bd2d1.txt: []
Smoking_v6_frame405_jpg.rf.21a74fc228a86eb6f7171942e691e431.txt: []
Smoking_v6_frame405_jpg.rf.f6bdf8eab7c9a8fd504209e0970af4b3.txt: []
Smoking_v6_frame450_jpg.rf.72ef08d6619eda0c1e6cca0192aabf6a.txt: []
Smoking_v6_frame450_jpg.rf.ea5b2e77b863a0976ff553566ccb8729.txt: []
Smoking_v6_frame75_jpg.rf.25a497881d3a1183cb202def0e6ebcdb.txt: ['smoking']
Smoking_v6_frame75_jpg.rf.69ad51cec3f053a96cdd8a88a1aed265.txt: ['smoking']
Smoking_v6_frame90_jpg.rf.0e15a7430c95cad5bf69cfd362d3ed9d.txt: ['smoking']
Smoking_v6_frame90_jpg.rf.2e9875b255b079b73439361c5207e82a.txt: ['smoking']
Smoking_v7_frame525_jpg.rf.050ebc36567fa51348da9995cb6ae810.txt: []
Smoking_v7_frame525_jpg.rf.5c0e2df70befd037d78e6e3e5f28ee60.txt: []
Smoking_v7_frame585_jpg.rf.5a961ca081882c218eec9927da99dde9.txt: []
Smoking_v7_frame585_jpg.rf.a208b029af2c40dc117477510916f3dd.txt: []
Smoking_v7_frame60_jpg.rf.60ded9607c5571aa7459742306816725.txt: []
Smoking_v7_frame60_jpg.rf.e883882c191818ed12023e773ebb21c6.txt: []
Smoking_v8_frame1005_jpg.rf.6ca97c636b996739fa0399a9e0dee714.txt: ['smoking']
Smoking_v8_frame1005_jpg.rf.6fcfbb21d21f89ffa96c7d3ec639159c.txt: ['smoking']
Smoking_v8_frame120_jpg.rf.292a61289655d913c182d3433c81393b.txt: ['smoking']
Smoking_v8_frame120_jpg.rf.5865d5fe920e754776f377dc0bd39035.txt: ['smoking']
Smoking_v8_frame1230_jpg.rf.2c8602ffd9f6d4a9257e9d444170b96e.txt: ['smoking']
Smoking_v8_frame1230_jpg.rf.5ca3c2771b4869bb47249dee7ecee7d2.txt: ['smoking']
Smoking_v8_frame1335_jpg.rf.43da9f75df8e165aedb609731339b94a.txt: []
Smoking_v8_frame1335_jpg.rf.e2c6f1190eb50dbeafc4c172f7b47ee1.txt: []
Smoking_v8_frame1380_jpg.rf.190c618728b6891de97d3f6def20ddac.txt: []
Smoking_v8_frame1380_jpg.rf.6b16d14f035ddf0bb43c44d3926a771c.txt: []
Smoking_v8_frame1500_jpg.rf.57405d7481fde9fe1eb22ea78b2711ce.txt: []
Smoking_v8_frame1500_jpg.rf.d6e9daa739ab24121d1fe79b7875167c.txt: []
Smoking_v8_frame240_jpg.rf.2e175b3b3d75ebaf6db78c58b450ec22.txt: []
Smoking_v8_frame240_jpg.rf.514052e96244fcc50d1489c634eb171c.txt: []
Smoking_v8_frame540_jpg.rf.1e09ed5e279704d9a2b5152a4cd59117.txt: []
